fen,played_move,best_move,category
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,b8c6,e5d4,inaccuracy
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,c6d4,c6e7,blunder
r1bqkbnr/pppp1ppp/8/3Pp3/3nP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,f1c4,c2c3,blunder
r1bqkbnr/pp1p1ppp/2p5/3Pp3/2BnP3/2P5/PP3PPP/RNBQK1NR b KQkq - 0 5,d4b5,c6d5,inaccuracy
r1bqkbnr/pp1p1ppp/2P5/1n2p3/2B1P3/2P5/PP3PPP/RNBQK1NR b KQkq - 0 6,d7c6,b7c6,inaccuracy
r1bqkbnr/pp3ppp/2p5/1n2p3/2B1P3/2P5/PP3PPP/RNBQK1NR w KQkq - 0 7,d1f3,c4f7,blunder
r2qkb1r/pp1n1ppp/8/1Q2p2b/4P3/2P2P2/PP4PP/RNB1K1NR w KQkq - 1 12,b5b7,g1e2,inaccuracy
r2qkb1r/pQ1n1ppp/8/4p2b/4P3/2P2P2/PP4PP/RNB1K1NR b KQkq - 0 12,d7c5,f8c5,inaccuracy
r2qk2r/p2nbppp/8/1Q2p2b/4P3/2P2P2/PP2N1PP/RNB1K2R w KQkq - 5 15,f3f4,e2g3,blunder
r2qk2r/p2nbppp/8/1Q2p2b/4PP2/2P5/PP2N1PP/RNB1K2R b KQkq - 0 15,h5e2,a8b8,blunder
r2qk2r/p2nbppp/8/1Q2p3/4PP2/2P5/PP2b1PP/RNB1K2R w KQkq - 0 16,e1e2,b5e2,inaccuracy
r2qk2r/p2nbppp/8/1Q2p3/4PP2/2P5/PP2K1PP/RNB4R b kq - 0 16,e5f4,a8b8,inaccuracy
r2qk2r/p2nbppp/8/1Q6/4PB2/2P5/PP2K1PP/RN5R b kq - 0 17,e8g8,d8c8,inaccuracy
r2q1rk1/p2nbppp/8/1Q6/4PB2/2P5/PP2K1PP/RN5R w - - 1 18,h2h4,h1d1,blunder
r2q1rk1/p2nbppp/8/1Q6/4PB1P/2P5/PP2K1P1/RN5R b - - 0 18,e7h4,d7c5,inaccuracy
r2q1rk1/p2n1ppp/8/1Q6/4PB1b/2P3P1/PP2K3/RN5R b - - 0 19,h4e7,h4f6,inaccuracy
r2q1rk1/p2nbppp/8/1Q6/4PB2/2P3P1/PP2K3/RN5R w - - 1 20,b5h5,h1d1,blunder
r2q1rk1/p3bppp/5n2/8/4PB2/2P3PQ/PP2K3/RN5R b - - 4 21,e7d6,f8e8,inaccuracy
r2q1rk1/p4ppp/3b1n2/8/4PB2/2P3PQ/PP2K3/RN5R w - - 5 22,e4e5,b1d2,blunder
r2q1rk1/p4ppp/5n2/4b3/5B2/2P3PQ/PP2K3/RN5R w - - 0 23,f4e5,b1d2,inaccuracy
r2q1rk1/p4ppp/5n2/4B3/8/2P3PQ/PP2K3/RN5R b - - 0 23,d8e7,f8e8,blunder
r3r1k1/p3qppp/5n2/4BQ2/8/2P3P1/PP2K3/RN5R w - - 3 25,e2f3,e2d3,blunder
r3r1k1/p3qppp/5n2/4BQ2/8/2P2KP1/PP6/RN5R b - - 4 25,e7e5,e7b7,blunder
r5k1/p4ppp/5n2/4r3/8/2P2KP1/PP6/RN5R w - - 0 27,b1d2,c3c4,inaccuracy
4r1k1/p4ppp/5n2/4r3/8/2P2KP1/PP1N4/R6R w - - 2 28,d2c4,h1f1,inaccuracy
6k1/p4ppp/5n2/5r2/2N5/2P3P1/PP2r3/R5KR b - - 7 30,f6d5,f5f2,blunder
6k1/p4pp1/7p/3n1r2/2N5/2P3P1/PP2r3/3R2KR w - - 0 32,c4d6,h1h2,blunder
6k1/p4pp1/3N3p/3n1r2/8/2P3P1/PP2r3/3R2KR b - - 1 32,f5f6,f5g5,blunder
6k1/p4pp1/3N3p/3R4/8/2P3P1/PP2rr2/6KR w - - 1 34,d6c4,d6e4,inaccuracy
